k1,k2,magnetic_band,energy_meV
0.075,0.0,80,31.46213159899591
0.075,0.0,81,33.071110870994154
0.075,0.0,82,35.8743533928046
0.075,0.0,83,36.379152985686524
0.075,0.0,84,37.967044916827575
0.075,0.0,85,39.86435081082923
0.075,0.0,86,40.42337861010502
0.075,0.0,87,42.1437898122065
0.075,0.0,88,42.46299539370059
0.075,0.0,89,43.8078985099474
0.075,0.0,90,44.926125261710006
0.075,0.0,91,45.635633906416714
0.075,0.0,92,46.87826806642549
0.075,0.0,93,47.21327466501416
0.075,0.0,94,48.25029556223798
0.075,0.0,95,49.36263497135253
0.075,0.0,96,50.36241045606267
0.075,0.0,97,51.2385161544442
0.075,0.0,98,51.51360967480385
0.075,0.0,99,52.45779049172274
0.075,0.0,100,53.348246881031905
0.075,0.0,101,53.727303536058905
0.075,0.0,102,54.49079645754637
0.075,0.0,103,56.78507669530834
0.075,0.0,104,59.086280882788934
0.075,0.0,105,61.498101840631215
0.075,0.0,106,64.21130762988852
0.075,0.0,107,65.58017495042583
0.075,0.0,108,67.1408140444972
0.075,0.0,109,69.05172536752316
0.075,0.0,110,70.91509687175997
0.075,0.0,111,72.46836738907703
0.075,0.0,112,74.59241251693014
0.075,0.0,113,76.99932412993196
0.075,0.0,114,79.53252873938013
0.075,0.0,115,82.64437330187691
0.075,0.0,116,86.08204158172127
0.075,0.0,117,90.88656980977463
0.075,0.0,118,95.85383858716497
0.1,0.0,1,-93.58037991175004
0.1,0.0,2,-86.45004877511948
0.1,0.0,3,-81.54958260856682
0.1,0.0,4,-77.40078442415677
0.1,0.0,5,-74.86533341110655
0.1,0.0,6,-72.42954410277673
0.1,0.0,7,-69.00914845034362
0.1,0.0,8,-66.43552420938224
0.1,0.0,9,-64.79586532039787
0.1,0.0,10,-62.27572608663738
0.1,0.0,11,-59.99555407960341
0.1,0.0,12,-57.951133760098514
0.1,0.0,13,-55.25763564491092
0.1,0.0,14,-54.21095357303864
0.1,0.0,15,-51.96092505784145
0.1,0.0,16,-50.3132561141052
0.1,0.0,17,-48.549072423875
0.1,0.0,18,-47.638809245130574
0.1,0.0,19,-45.48350904737279
0.1,0.0,20,-44.43715220705792
0.1,0.0,21,-43.2549678105174
0.1,0.0,22,-41.6456592534702
0.1,0.0,23,-40.7008163594374
0.1,0.0,24,-39.92367945307879
0.1,0.0,25,-38.68457579575542
0.1,0.0,26,-37.874631104134295
0.1,0.0,27,-37.40105956778601
0.1,0.0,28,-36.645185095179784
